Desired Title,Link,Year,Mo
2019_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/5063d33dcddcefef2fe65d4117282c0e81.pdf,2019,10
2019_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/968b09a7f1baebce79ee498a41fcf0ad70.pdf,2019,12
2020_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/b70e5f0cd839223ad059c3a37efe4fea82.pdf,2020,1
2020_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/f8c3680b8d1af7afaf9252b1b893ad4477.pdf,2020,2
2020_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/07/March-6-2020-JOB-Minutes-FINAL.pdf,2020,3
2020_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/07/May-7-2020-JOB-Minutes-with-transcription-FINAL.pdf,2020,5
2020_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/08/JOB-JULY-2020-MINUTES-FINAL-Includes-Public-Comments.pdf,2020,7
2020_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/09/August-JOB-Minutes-FINAL.pdf,2020,8
2020_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/10/September-2020-JOB-Minutes-FINAL-with-Public-Comments.pdf,2020,9
2020_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/11/JOB-October-2020-Minutes-FINAL-with-public-comments.pdf,2020,10
2020_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/12/November-2020-JOB-Minutes-FINAL-Public-Comments.docx,2020,11
2020_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/01/December-2020-JOB-Minutes-FINAL-with-public-comments.pdf,2020,12
2021_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/03/January-2021-JOB-Minutes-FINAL-with-Public-Comments.pdf,2021,1
2021_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/03/Feb-2021-JOB-Minutes-FINAL.pdf,2021,2
2021_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/04/JOB-March-2021-FINAL-Minutes-with-Public-Comments-Responses.pdf,2021,3
2021_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/06/April-2021-Jail-Oversight-Board-Minutes-with-Public-Comment-Responses.pdf,2021,4
2021_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/06/May-2021-Jail-Oversight-Board-Minutes-with-Public-Comment-Responses.pdf,2021,5
2021_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/07/June-2021-Jail-Oversight-Board-Meeting-Minutes.pdf,2021,6
2021_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/08/July-2021-Jail-Oversight-Board-Minutes.pdf,2021,7
2021_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/09/August-2021-Jail-Oversight-Board-Minutes.pdf,2021,8
2021_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/11/September-2-2021-Jail-Oversight-Board-Meeting-Minutes.pdf,2021,9
2021_9_1_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/11/September-20-2021-Jail-Oversight-Board-Meeting-Minutes.pdf,2021,9
2021_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/12/FINAL-JOB-Meeting-Minutes-10.07.2021-with-public-comments.pdf,2021,10
2021_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2021/12/FINAL-JOB-Meeting-Minutes-11.04.2021-with-public-comments.pdf,2021,11
2021_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/01/FINAL-JOB-Meeting-Minutes-December-2-2021-with-public-comments.pdf,2021,12
2022_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/02/Final-JOB-Meeting-Minutes-January-6-2022-with-public-comments.pdf,2022,1
2022_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/04/FINAL-JOB-Meeting-Minutes-February-3-2022-with-public-comments.pdf,2022,2
2022_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/04/FINAL-JOB-Meeting-Minutes-March-2-2022-with-public-comments.pdf,2022,3
2022_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/05/FINAL-JOB-Meeting-Minutes-April-7-2022-with-public-comments.pdf,2022,4
2022_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/07/FINAL-JOB-Meeting-Minutes-May-5-2022-with-public-comments.pdf,2022,5
2022_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/07/FINAL-JOB-Meeting-Minutes-June-2-2022-with-public-comments.pdf,2022,6
2022_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/08/FINAL-JOB-Meeting-Minutes-July-7-2022.pdf,2022,7
2022_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/09/FINAL-JOB-Meeting-Minutes-August-24-2022-with-public-comments.pdf,2022,8
2022_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/10/FINAL-JOB-Meeting-Minutes-September-1-2022-with-public-comments.pdf,2022,9
2022_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/11/FINAL-JOB-Meeting-Minutes-October-6-2022.pdf,2022,10
2022_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2022/12/FINAL-JOB-Meeting-Minutes-November-3-2022.pdf,2022,11
2022_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/02/FINAL-JOB-Meeting-Minutes-December-1-2022.pdf,2022,12
2023_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/02/FINAL-JOB-Meeting-Minutes-January-5-2023.pdf,2023,1
2023_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/03/FINAL-JOB-Meeting-Minutes-February-2-2023.pdf,2023,2
2023_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/04/JAIL-OVERSIGHT-BOARD-MINUTES-MARCH-2-2023.pdf,2023,3
2023_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/05/JAIL-OVERSIGHT-BOARD-MINUTES-APRIL-6-2023.pdf,2023,4
2023_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/07/JAIL-OVERSIGHT-BOARD-MINUTES-MAY-18-2023.pdf,2023,5
2023_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/07/JAIL-OVERSIGHT-BOARD-MINUTES-JUNE-8-2023__.pdf,2023,6
2023_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/09/JAIL-OVERSIGHT-BOARD-MEETING-MINUTES-07062023.pdf,2023,7
2023_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/09/JAIL-OVERSIGHT-BOARD-MEETING-MINUTES-08032023.pdf,2023,8
2023_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/12/JAIL-OVERSIGHT-BOARD-MEETING-MINUTES-09072023.pdf,2023,9
2023_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2023/12/JAIL-OVERSIGHT-BOARD-MINUTES-10052023.pdf,2023,10
2023_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/02/JAIL-OVERSIGHT-BOARD-MEETING-MINUTES-NOV-2-2023-1.pdf,2023,11
2023_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/02/JAIL-OVERSIGHT-BOARD-MEETING-MINUTES-DEC-7-2023.pdf,2023,12
2024_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/02/JOB-MEETING-MINUTES-JAN-4-2024.pdf,2024,1
2024_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/03/JAIL-OVERSIGHT-BOARD-MEETING-02012024.pdf,2024,2
2024_2_1_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/06/JOB-OVERSIGHT-SPECIAL-MEETING-02272024-DRAFT.pdf,2024,2
2024_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/06/JAIL-OVERSIGHT-BOARD-MEETING-03072024-DRAFT.pdf,2024,3
2024_3_1_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/06/JOB-SPECIAL-MEETING-MINUTES-03282024-DRAFT.pdf,2024,3
2024_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/06/JOB-MEETING-MINUTES-04042024.pdf,2024,4
2024_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/06/JOB-MEETING-MINUTES-05022024.pdf,2024,5
2024_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/07/JOB-MEETING-MINUTES-06062024.pdf,2024,6
2024_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/09/JOB-MEETING-MINUTES-07172024.pdf,2024,7
2024_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/09/JOB-MEETING-MINUTES-08012024.pdf,2024,8
2024_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/10/JOB-MEETING-MINUTES-09052024.pdf,2024,9
2024_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2024/11/JOB-MEETING-MINUTES-10032024.pdf,2024,10
2024_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/01/JOB-MEETING-MINUTES-11072024.pdf,2024,11
2024_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/01/JOB-MEETING-MINUTES-12052024.pdf,2024,12
2025_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/03/JOB-MINUTES-01092025.pdf,2025,1
2025_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/03/JOB-MEETING-MINUTES-02062025.pdf,2025,2
2025_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/04/JOB-MEETING-MINUTES-03062025.pdf,2025,3
2025_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/05/JOB-MEETING-MINUTES-04032025.pdf,2025,4
2025_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/06/JOB-MEETING-MINUTES-05012025.pdf,2025,5
2025_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/07/JOB-MEETING-MINUTES-06052025.pdf,2025,6
2025_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/08/JOB-MEETING-MINUTES-07032025.pdf,2025,7
2025_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/08/JOB-MEETING-MINUTES-08072025.pdf,2025,8
2025_8_1_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/09/JOB-MEETING-MINUTES-08202025.pdf,2025,8
2025_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/10/JOB-MEETING-MINUTES-09042025.pdf,2025,9
2025_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/11/JOB-MEETING-MINUTES-10022025.pdf,2025,10
2025_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2025/12/JOB-MEETING-MINUTES-11032025.pdf,2025,11
2025_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2026/01/JOB-MEETING-MINUTES-12.04.2025.pdf,2025,12
2026_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2026/02/JOB-MEETING-MINUTES-01.08.2026.pdf,2026,1
2026_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2026/03/JOB-MEETING-MINUTES-02.05.2026.pdf,2026,2
